Code,Department
Ar,CDM
At,Attendance
Bi,Science
Cd,Health
Cg,Computing
Ch,Science
Ci,Personal Development
Cm,CDM
Co,Computing
Cq,Consequences
Cz,Personal Development
Di,Computing
Ec,Economics
El,English
E2,English
En,English
Eq,Computing
Fm,Maths
Fr,English
Gg,Geography
Gp,Sport
Hp,Sport
Hs,Sport
It,Computing
Ma,Maths
Mc,Maths
Ms,Computing
Pd,Personal Development
Pe,Sport
Ph,Science
Ps,Psychology
Pt,CDM
Py,Psychology
Re,RE
Sc,Science
Sn,English
So,Sociology
Sp,Sport
Ss,Sport
St,Maths
Tg,Tutor Time